Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
K8CK0G69Wk4,artcriminal,"Aug 4, 2025",43,2,0.0014,0,63,0
tTApDmsSmso,Robin Schulz - All We Got (Lyrics) feat. KIDDO,"Oct 15, 2020",191,2,0.0273,0,38,2.63
qnNo_rD_yro,Mike Perry & Dimitri Vangelis & Wyman - Lighters,"Jan 28, 2022",210,2,0.0067,0,14,0
fpZKqxfVy-Y,Call Dominika & Maxx Miklos - RELAPSE,"Aug 14, 2025",165,2,0.0119,0,28,3.57
ecBbMURIKMU,Ebmusic & bobbyxyz - Summer Nights feat. Kina,"Jan 23, 2022",149,2,0.0735,0,21,9.52
geyJlAllrFc,Alex Porat - Forgot to Forgive (Lyrics),"Oct 21, 2020",166,2,0.0014,0,18,0
DYHoLLfmUvo,Diviners & Riell - Slow // Lyrics [FV Release],"Aug 7, 2020",196,2,0.0594,0,7,14.29
tINmoG7XOOQ,LOWEN & Palm Trees - Sunlight (Lyrics),"May 25, 2025",157,2,0.0768,0,3,33.33
OeIVeQovj5Q,Topic & Sofiya Nzau - Away (Lyrics),"May 30, 2025",239,2,0.0896,0,19,0
qRpXo4zoNGY,UMBRA - The Passenger (Iggy Pop Cover),"Aug 10, 2025",201,2,0.0569,0,17,0
30ZHf2Man2s,Sam Smith - Diamonds (Lyrics),"Sep 26, 2020",217,2,0.0041,0,8,12.5
qwEQId-ZjIU,TMPST x Maynørr x Bridges - Meant For You,"Jul 7, 2025",198,2,0.11,0,2,0
dQyUeYJ_vG4,Y.V.E. 48 - Holding On (Lyrics),"Jul 22, 2020",164,2,0.0911,,5,0
dKckQe6gPU8,Sinéad Harnett - Take Me Away (Lyrics) feat. EARTHGANG,"Oct 15, 2020",173,2,0.0056,0,12,0
JeySOE2crNE,Emma Rena - Sidebar (Lyrics),"Dec 5, 2020",149,2,0.0077,0,17,0
IAysmdH4x_Y,TMPST X Mati Troglia X Anna Sophia-Henry - All U Want,"Aug 4, 2025",162,2,0.0894,0,18,5.56
